 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.13 	 W: 0.74 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.13 	 W: 0.74 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.11 	 W: 0.36 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.11 	 W: 0.72 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.11 	 W: 0.72 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.11 	 W: 0.72 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.11 	 W: 0.72 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.33 	 V: 1.11 	 W: 0.36 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.11 	 W: 0.72 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.11 	 W: 0.72 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.00 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.08 	 W: 0.70 	 Thr: 0 	 Hz: 84
