 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.02 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.05 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 85
T: 0.05 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.07 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.19 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.31 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.30 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.18 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.10 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.06 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.05 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.03 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.03 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.04 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.07 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.11 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.15 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.21 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.26 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.33 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.41 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.48 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 85
T: 0.51 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.50 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.47 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.44 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.43 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.41 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.41 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.42 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.45 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 85
T: 0.47 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.47 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.45 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.45 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.45 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.47 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.49 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.51 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.52 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.51 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 85
T: 0.51 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.52 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.55 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.59 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.63 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.67 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.72 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.74 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.78 	 C: 0.33 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.83 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.89 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.93 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 0.98 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 1.02 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 1.07 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 1.11 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 1.15 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
T: 1.18 	 C: 0.65 	 V: 0.00 	 W: 0.00 	 Thr: 0 	 Hz: 84
